NAME,POSITION,AGENCY,ROLE
DATUK BASARI BIN SARKUN,AHLI LEMBAGA PENGARAH,POIC SDN BHD,PESERTA
SAIL JAMALUDIN,CHIEF OPERATING OFFICER,BORNEO NATURE TOURS SDN. BHD.,PESERTA
RIXDYVZ A. JOPIN,FINANCE MANAGER,INNOPRISE JUNGLE LODGE SDN. BHD.,PESERTA
PATRICIA UBING,KETUA PEGAWAI EKSEKUTIF (CEO),SABAH DEVELOPMENT BANK BERHAD,PESERTA
DATUK JOSHUA HO,AHLI LEMBAGA PENGARAH,SABAH DEVELOPMENT BANK BERHAD,PESERTA
DATUK JAPAR BIN ESTEBAN,CHIEF EXECUTIVE OFFICER,ASIAN SUPPLY BASE SDN. BHD.,PESERTA
"DATUK RUJI BIN UBI, JP",DEPUTY CHAIRMAN,ASIAN SUPPLY BASE SDN. BHD.,PESERTA
TUAN CHRISTOPHER NG CHUNG YEE,DIRECTOR,ASIAN SUPPLY BASE SDN. BHD.,PESERTA
ZULAINAHWATY BINTI SULAIMAN,HEAD OF DEPARTMENT,ASIAN SUPPLY BASE SDN. BHD.,PESERTA
SUBHA SATHIAMOORTHY A/L MARIAH@MARAIAH,DIRECTOR,SEDCO COMMUNICATION SDN. BHD.,PESERTA
ENCIK SAZALI BIN JUSTI,PENGARAH,SABAH URBAN DEVELOPMENT CORPORATION SDN. BHD.,PESERTA
DATUK GOH CHIN LOK @ JOHNNY GOH,TIMBALAN PENGURUS BESAR,KKIP POWER SDN BHD,PESERTA
DATUK IR. PETER LAJUMIN,TIMBALAN PENGURUS BESAR,KKIP POWER SDN BHD,PESERTA
MOHD AZMIR BIN RAMLI,PENGARAH URUSAN KUMPULAN / KETUA PEGAWAI EKSEKUTIF,SABAH OIL AND GAS DEVELOPMENT CORPORATION SDN. BHD.,PESERTA
YAAKOB BIN MAHMOOD,"TIMBALAN, KETUA PEGAWAI EKSEKUTIF",SABAH OIL AND GAS DEVELOPMENT CORPORATION SDN. BHD.,PESERTA
DATUK SAKTIAN @ MOHD PINTAZ BASAR,PENGARAH,SABAH OIL AND GAS DEVELOPMENT CORPORATION SDN. BHD.,PESERTA
PUNEY KIOB @ ROBERT PUNEY,KETUA PEGAWAI EKSEKUTIF (SOGIP PORT SDN BHD),SABAH OIL AND GAS DEVELOPMENT CORPORATION SDN. BHD.,PESERTA
JASMIH BIN SLAMAT,KETUA PEGAWAI EKSEKUTIF KUMPULAN,YAYASAN BUMIPUTRA SABAH,PESERTA
PUAN EZLEENA ANSARI,"PENGURUS BESAR, ASAL BARU SDN BHD",YAYASAN BUMIPUTRA SABAH,PESERTA
CHARLES K. DALANSING,KETUA PEGAWAI EKSEKUTIF,KKIP CKD,PESERTA
TUAN JIMON JAHIM,XECUTIVE DIRECTOR,DBKK HOLDINGS SDN BHD,PESERTA
TUAN SAIRULLIZAM SUKOR,DIRECTOR,DBKK HOLDINGS SDN BHD,PESERTA
NOREDAH OTHMAN,KETUA PEGAWAI EKSEKUTIF,SABAH CONVENTION BUREAU,PESERTA
FRISCYELLA LAZABOT,FINANCE OFFICER,SABAH CONVENTION BUREAU,PESERTA
SITI SYAZLINA BT MAHMUD,ADMINISTRATION EXECUTIVE,SABAH CONVENTION BUREAU,PESERTA
REMYSTA JIMMY TAYLOR,KETUA PEGAWAI EKSEKUTIF,SABAPAK ECO SDN BHD,PESERTA
VICTOR FESTIVAL FREDOLINE SIKAIN,PENGARAH BERSEKUTU,INSTITUTE FOR DEVELOPMENT STUDIES (SABAH) (IDS),PESERTA
DATUK DAYANG NOORASHIKIN BINTI ZULKEFLI,PENGARAH,BAHAGIAN KABINET DAN DASAR,PESERTA
DATUK HAJAH MYRNA BINTI JIMENEZ,SETIAUSAHA TETAP,KEMENTERIAN PEMBANGUNAN LUAR BANDAR SABAH,PESERTA
DATUK JUMAIN ABDUL GHANI,SETIAUSAHA TETAP,"KEMENTERIAN PERTANIAN, PERIKANAN DAN INDUSTRI MAKANAN",PESERTA
AWG. DZULKERNAIN BIN AWG. HASSAN,TIMBALAN SETIAUSAHA TETAP,"KEMENTERIAN PERTANIAN, PERIKANAN DAN INDUSTRI MAKANAN",PESERTA
DATUK HASSAN MAHALI,SETIAUSAHA TETAP,KEMENTERIAN SAINS TEKNOLOGI DAN INOVASI SABAH,PESERTA
DATUK MOHD SOFIAN ALFIAN NAIR,SETIAUSAHA TETAP,KEMENTERIAN KEWANGAN,PESERTA
ANTHEA JAMES JIPANUS,TIMBALAN SETIAUSAHA TETAP (P),KEMENTERIAN KEWANGAN,PESERTA
DATUK CHEE SHOK TING,TIMBALAN SETIAUSAHA TETAP (O),KEMENTERIAN KEWANGAN,PESERTA
PUAN EVINA BRENDA MAJIMBUN,SETIAUSAHA RENDAH/CJN,KEMENTERIAN KEWANGAN,PESERTA
ENCIK MOHD FAIZAL MOHD TAHIR,SETIAUSAHA RENDAH/B,KEMENTERIAN KEWANGAN,PESERTA
PUAN DAYANG SELHA BINTI IBRAHIM,SETIAUSAHA RENDAH/PPA,KEMENTERIAN KEWANGAN,PESERTA
PUAN HAJAH ROSELIDAH BINTI RASKAN,SETIAUSAHA RENDAH/PPHA,KEMENTERIAN KEWANGAN,PESERTA
PUAN D.K ROS RITA AG TALIP,KETUA PENOLONG SETIAUSAHA/K&E,KEMENTERIAN KEWANGAN,PESERTA
