NAME,POSITION,AGENCY,ROLE
ENCIK KIFLI BIN AISOH,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
DR ZUL BAHAR BIN ABDUL RASHID,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
DATIN ATIN BELYNDA BINTI BUNTOT,DIRECTOR,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG DATUK SYAHEDDRUL RAHMAN JODDARI,PENGURUS BESAR LEMBAGA KEMAJUAN TANAH NEGERI SABAH,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
ENCIK PINUS BIN GONDILI,AHLI LEMBAGA PENGARAH LKTNS,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG EN. ZAIDI BIN JATILI,AHLI LEMBAGA PENGARAH LKTNS,LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG DR PETER JR NAINTIN,"AHLI LEMBAGA PENGARAH, LKTNS",LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
YBHG PUAN ALZREENA KHAMIS,"SETIAUSAHA LEMBAGA PENGARAH, LKTNS",LEMBAGA KEMAJUAN TANAH NEGERI SABAH (LKTNS),PESERTA
PUAN DAKIM GINSOS,PENGARAH,BATULUGA SDN. BHD.,PESERTA
PUAN AZRINA MOHD MARUF,PENGARAH URUSAN,BATULUGA SDN. BHD.,PESERTA
DOLLYN BINTI ALOYSIUS @ ATTI,BOD MEMBER - BATULUGA SDN BHD,BATULUGA SDN. BHD.,PESERTA
YB DATUK DONALD PETER MOJUNTIN,PENGERUSI LEMBAGA,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG PUAN HAJAH MASTURAH BINTI HAJI JAMRAH,TIMBALAN PENGERUSI LEMBAGA,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG DATUK DR. JOHNSON TEE,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG DATUK MOHAMMED SAHID BIN HAJI NAWAB KHAN,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG DATUK ABU BAKAR BIN GAPAR,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG TUAN HAJI MOHD IBRAHIM BIN HAJI MOHD YASSIN @ M.Y. IBRAHIM,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
YBHG TUAN MAKSIT BIN HAJI SAIDI,AHLI LEMBAGA PENGARAH,LEMBAGA PELABUHAN-PELABUHAN SABAH,PESERTA
